datetime,temp_mean,temp_std,hum_mean,hum_std,sound_mean,sound_max,motion_time,dist_time
2025-11-18T19:00:55.724612,22.23,0.046,75.0,0.0,83.309,84.3,16.0,0.0
2025-11-18T19:03:55.947016,22.2,0.0,75.378,0.485,82.265,83.619,74.0,6.0
2025-11-18T19:06:56.046312,22.198,0.015,76.0,0.0,83.602,84.0,18.0,0.0
2025-11-18T19:11:24.135212,22.309,0.084,75.8,0.4,82.09,84.389,46.0,10.0
2025-11-18T19:14:24.439807,22.387,0.034,75.0,0.0,81.134,81.684,58.0,0.0
2025-11-18T19:17:24.479680,22.306,0.023,75.567,0.496,81.168,81.706,0.0,0.0
2025-11-18T19:20:24.543699,22.341,0.049,76.0,0.0,81.103,81.529,0.0,0.0
2025-11-18T19:23:24.575384,22.4,0.0,75.922,0.268,81.004,81.05,0.0,0.0
2025-11-18T19:26:24.610434,22.459,0.049,75.0,0.0,81.051,81.8,0.0,0.0
2025-11-18T19:29:45.234019,22.5,0.0,75.0,0.0,83.323,86.684,14.0,12.0
2025-11-18T19:32:46.263270,22.508,0.027,75.0,0.0,83.612,85.111,20.0,8.0
2025-11-18T19:35:46.191309,22.52,0.04,75.0,0.0,81.848,83.529,8.0,0.0
2025-11-18T19:38:47.049030,22.551,0.05,75.0,0.0,81.372,82.167,16.0,36.0
2025-11-18T19:41:48.086408,22.541,0.049,75.0,0.0,81.373,82.0,0.0,0.0
2025-11-18T19:44:48.092014,22.533,0.047,75.0,0.0,81.186,81.562,0.0,16.0
2025-11-18T19:47:47.067314,22.6,0.0,75.0,0.0,81.457,81.833,2.0,0.0
2025-11-18T19:50:49.030988,22.673,0.044,75.0,0.0,81.519,82.105,78.0,0.0
2025-11-18T19:53:50.055374,22.774,0.044,74.767,0.423,81.528,82.0,22.0,0.0
2025-11-18T19:56:50.040034,22.881,0.039,74.411,0.594,81.386,81.833,36.0,4.0
